last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_strikeout,p_run,p_blown_save,p_win,p_loss,p_shutout,p_quality_start,p_complete_game,
Gibson, Kyle,502043,2021,34,31,182.0,155,78,0,10,9,0,19,0,
Cobb, Alex,502171,2021,34,18,93.1,98,46,0,8,3,0,4,0,
Espino, Paolo,502179,2021,34,35,109.2,92,53,0,5,5,0,1,0,
Boxberger, Brad,502202,2021,33,71,64.2,83,26,5,5,4,0,0,0,
Peralta, Wily,503449,2021,32,19,93.2,58,41,0,4,5,0,6,0,
Darvish, Yu,506433,2021,35,30,166.1,199,81,0,8,11,0,13,0,
Colome, Alex,517008,2021,33,67,65.0,58,41,7,4,4,0,0,0,
Bumgarner, Madison,518516,2021,32,26,146.1,124,82,0,7,10,1,10,1,
Cishek, Steve,518553,2021,35,74,68.1,64,32,5,0,2,0,0,0,
Diekman, Jake,518617,2021,34,67,60.2,83,29,7,3,3,0,0,0,
Duffy, Danny,518633,2021,33,13,61.0,65,19,0,4,3,0,4,0,
Harvey, Matt,518774,2021,32,28,127.2,95,96,0,6,14,0,5,0,
Kelly, Merrill,518876,2021,33,27,158.0,130,82,0,7,11,0,10,0,
Moore, Matt,519043,2021,32,24,73.0,63,54,0,2,4,0,1,0,
Pressly, Ryan,519151,2021,33,64,64.0,81,19,2,5,3,0,0,0,
Smith, Will,519293,2021,32,71,68.0,87,27,6,3,7,0,0,0,
Hendriks, Liam,521230,2021,32,69,71.0,113,23,6,8,3,0,0,0,
Perez, Martin,527048,2021,30,36,114.0,97,71,0,7,8,0,4,0,
Shoemaker, Matt,533167,2021,35,16,60.1,40,56,0,3,8,0,3,0,
Cisnero, Jose,542585,2021,32,67,61.2,62,34,5,4,4,0,0,0,
Anderson, Tyler,542881,2021,32,31,167.0,134,87,0,7,11,0,11,0,
Bass, Anthony,542914,2021,34,70,61.1,58,33,4,3,9,0,0,0,
Cole, Gerrit,543037,2021,31,30,181.1,243,69,0,16,8,1,18,2,
DeSclafani, Anthony,543101,2021,31,31,167.2,152,61,0,13,7,2,15,2,
Eovaldi, Nathan,543135,2021,31,32,182.1,195,81,0,11,9,0,13,0,
Gray, Sonny,543243,2021,32,26,135.1,155,67,0,7,9,0,9,0,
Hand, Brad,543272,2021,31,68,64.2,61,39,8,6,7,0,0,0,
Hendricks, Kyle,543294,2021,32,32,181.0,131,101,0,14,7,0,19,1,
Lyles, Jordan,543475,2021,31,32,180.0,146,104,0,10,13,0,13,0,
May, Trevor,543507,2021,32,68,62.2,83,29,3,7,3,0,0,0,
Odorizzi, Jake,543606,2021,31,24,104.2,91,51,0,6,7,0,2,0,
Shaw, Bryan,543766,2021,34,81,77.1,71,33,6,6,7,0,0,0,
Familia, Jeurys,544727,2021,32,65,59.1,72,31,6,9,4,0,0,0,
