last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,b_total_bases,r_total_stolen_base,r_run,woba,
Adames, Willy,642715,2021,26,497,555,130,72,32,1,25,156,57,28.1,10.3,.262,.481,.337,.818,73,201,239,5,77,.349,
Benintendi, Andrew,643217,2021,27,493,538,136,90,27,2,17,97,36,18.0,6.7,.276,.442,.323,.766,73,187,218,8,63,.328,
Kiner-Falefa, Isiah,643396,2021,26,635,677,172,136,25,3,8,90,28,13.3,4.1,.271,.357,.312,.669,53,188,227,20,74,.293,
Albies, Ozzie,645277,2021,24,629,686,163,86,40,7,30,128,47,18.7,6.9,.259,.488,.310,.799,106,233,307,20,103,.336,
Devers, Rafael,646240,2021,25,591,664,165,89,37,1,38,143,62,21.5,9.3,.279,.538,.352,.890,113,284,318,5,101,.373,
Urias, Luis,649966,2021,24,490,570,122,73,25,1,23,116,63,20.4,11.1,.249,.445,.342,.787,75,180,218,5,77,.340,
Torres, Gleyber,650402,2021,25,459,516,119,88,22,0,9,104,50,20.2,9.7,.259,.366,.329,.695,51,190,168,14,50,.307,
Diaz, Yandy,650490,2021,30,465,541,119,85,20,1,13,85,69,15.7,12.8,.256,.387,.353,.740,64,189,180,1,62,.325,
Chapman, Matt,656305,2021,28,529,622,111,66,15,3,27,202,80,32.5,12.9,.210,.403,.314,.716,72,227,213,3,75,.311,
Mullins II, Cedric,656775,2021,27,602,675,175,103,37,5,30,125,59,18.5,8.7,.291,.518,.359,.877,59,188,312,30,91,.372,
Smith, Pavin,656976,2021,25,498,545,133,91,27,4,11,106,42,19.4,7.7,.267,.404,.328,.732,49,182,201,1,68,.318,
Verdugo, Alex,657077,2021,25,544,604,157,110,32,2,13,96,51,15.9,8.4,.289,.426,.351,.777,63,212,232,6,88,.334,
Moncada, Yoan,660162,2021,26,520,616,137,89,33,1,14,157,84,25.5,13.6,.263,.412,.375,.787,61,229,214,3,74,.347,
